date,overall,sociability,health,happiness,energy,positivity,moment,uniqueness,excitement,productivity,integrity,purpose,bottles drank,times peed,time slept,time awaked,total sleep time,effectiveness (Am I SPENDING the RIGHT TIME),Sleep Min,Sleep Hr,Awake Hr,% of planned output
2022-06-11,8.0,8.0,8.9,8.1,8.5,8.5,,,,9.0,,,6.0,6.0,1.5,8.0,6.5,8.0,30.0,1.0,8.0,
2022-06-12,9.2,9.4,8.7,9.0,7.7,9.0,,,,7.8,,,6.0,5.0,2.5,,,7.0,30.0,2.0,,
2022-06-13,9.5,9.3,9.5,9.3,9.0,9.7,,,,,,,,,1.6,,,,35.0,1.0,,
2022-06-14,9.3,8.6,9.4,9.0,8.0,,,,,9.0,,,,,,,,7.9,,,,
2022-06-15,8.6,9.0,8.4,8.7,7.8,8.0,,,,8.8,,,,,,,,7.6,,,,
2022-06-16,9.4,9.0,,,,,,,,,,,,,,,,,,,,
2022-06-17,7.8,8.8,7.0,8.1,7.3,,,,,,,,,,,,,,,,,
2022-06-18,8.5,8.8,7.8,8.3,8.9,7.5,,9.3,,,,,,,,,,6.0,,,,
2022-06-19,8.7,9.0,8.7,8.7,8.4,9.0,,8.7,,8.0,,,,,,,,8.0,,,,
2022-06-20,8.1,8.0,7.8,9.0,7.9,8.3,,7.0,,9.0,,,6.0,5.0,,,,7.0,,,,
2022-06-21,9.4,9.4,9.2,9.6,9.0,9.7,,9.6,,,,,,,,,,,,,,
2022-06-22,7.5,8.1,7.7,8.0,7.8,7.9,,8.8,,,,,,,,,,,,,,
2022-06-23,8.6,8.0,8.0,8.0,8.0,8.0,,8.7,,,,,,,,,,,,,,
2022-06-24,9.0,9.0,8.5,8.8,8.6,8.8,,9.1,,8.7,,,,,12.2,,,7.1,10.0,12.0,,
2022-06-25,9.1,8.7,8.8,8.9,8.0,7.6,,9.2,,,,,,,11.2,,,,10.0,11.0,,
2022-06-26,,9.0,9.3,9.3,8.7,8.4,,9.3,,,,,,,,,,,,,,
2022-06-27,9.0,9.5,8.0,9.0,9.5,9.0,,9.3,,8.0,,,,,,,,6.0,,,,
2022-06-28,9.2,8.8,8.5,9.3,9.3,8.3,7.0,9.5,,,,,,,,,,,,,,
2022-06-29,8.5,8.0,8.0,8.2,8.3,7.8,8.0,88.0,,,,,,,,,,7.0,,,,
2022-06-30,8.9,,8.4,8.5,7.5,,,9.5,,,,,,,,,,,,,,
2022-07-01,,,,,,,,,,,,,,,,,,,,,,
2022-07-02,8.8,8.3,8.5,8.6,8.0,8.4,7.8,9.6,,,,,,,,,,,,,,
2022-07-03,8.1,8.0,8.7,8.2,7.0,8.6,8.5,7.7,,8.8,,,,,,,,7.6,,,,
2022-07-04,7.9,,7.9,8.0,6.8,8.0,8.3,7.4,,9.4,,,,,,,,8.0,,,,
2022-07-05,9.5,9.0,9.6,9.6,9.5,9.1,9.4,9.6,,,,,,,,,,,,,,
2022-07-06,9.6,9.0,9.5,9.3,8.9,9.2,9.6,9.8,,,,,,,,,,,,,,
2022-07-07,7.8,7.9,7.0,8.3,7.8,7.4,8.0,8.6,,,,,,,,,,,,,,
2022-07-08,8.6,8.6,8.6,8.5,8.8,8.7,8.7,8.7,,8.7,,,,,,,,8.8,,,,
2022-07-09,9.0,9.2,9.0,9.0,8.5,9.2,8.9,8.8,,9.0,,,,,,,,8.3,,,,
2022-07-10,8.0,7.7,8.4,8.1,7.6,7.9,7.8,8.7,,7.8,,,,,,,,7.7,,,,
2022-07-11,9.2,8.3,8.5,9.2,8.8,9.0,7.8,9.7,,,,,,,,,,,,,,
2022-07-12,8.2,,8.7,8.5,8.9,8.8,8.5,7.8,,8.8,,,,,,,,8.0,,,,
2022-07-13,,,,,,,,,,,,,,,,,,,,,,
2022-07-14,8.0,8.3,7.0,7.8,8.0,7.5,,8.2,,8.8,,,,,,,,7.0,,,,
2022-07-15,8.6,8.7,8.0,8.3,8.6,8.8,8.6,8.2,,8.3,,,,,,,,7.2,,,,
2022-07-16,9.0,9.3,8.9,8.8,9.2,9.3,8.8,9.0,,9.2,,,,,,,,8.0,,,,
2022-07-17,9.2,8.6,9.1,9.3,9.5,9.3,9.0,8.8,,,,,,,,,,,,,,
2022-07-18,8.9,9.2,8.2,9.3,8.8,8.5,8.7,8.9,,7.8,,,9.0,,,,,7.8,,,,
2022-07-19,8.8,9.0,8.8,8.8,9.2,8.6,8.7,8.3,,7.3,,,8.0,,,,,8.7,,,,
2022-07-20,8.8,,8.6,9.0,9.0,8.4,8.5,9.0,,9.0,,,,,,,,8.0,,,,
2022-07-21,8.3,8.5,8.0,8.5,8.8,9.0,8.5,7.7,,9.5,,,,,,,,7.0,,,,
2022-07-22,9.5,9.7,8.7,9.4,8.9,9.5,9.3,9.5,,8.0,,,,,,,,8.5,,,,
2022-07-23,8.1,8.7,8.0,8.2,8.0,8.5,8.4,8.3,,9.2,,,,,,,,7.9,,,,
2022-07-24,7.8,,7.8,7.7,8.2,8.0,7.8,8.1,,8.5,,,,,,,,7.8,,,,
2022-07-25,8.3,,,,,,,,,,,,,,,,,,,,,
2022-07-26,,,6.0,8.0,7.0,6.0,,9.0,,,,,,,,,,,,,,
2022-07-27,9.0,7.8,9.5,8.8,9.2,9.7,9.0,9.0,,,,,,,,,,,,,,
2022-07-28,9.0,7.8,8.8,9.0,8.5,8.7,8.9,9.8,,,,,,,,,,,,,,
2022-07-29,7.5,7.8,7.0,7.4,7.9,7.4,8.2,7.0,,,,,7.0,6.0,,,,8.0,,,,
2022-07-30,8.3,8.5,8.7,8.0,7.8,9.0,8.2,8.1,,,,,,,,,,,,,,
2022-07-31,7.0,,7.4,7.0,8.0,7.7,8.0,7.0,,9.5,,,,,,,,7.5,,,,
2022-08-01,7.8,,7.4,,,,,,,,,,,,,,,,,,,
2022-08-02,8.8,8.0,8.7,9.0,8.6,8.8,8.8,8.6,9.0,7.5,,,,,,,,,,,,
2022-08-03,9.1,8.9,9.3,9.1,9.0,9.0,9.0,8.9,9.2,8.0,,,,,,,,,,,,
2022-08-04,9.1,9.2,9.3,8.9,9.1,9.4,9.0,9.0,9.8,7.8,,,,,,,,,,,,
2022-08-05,8.6,8.9,7.9,,8.6,,,8.8,,,7.5,,,,,,,,,,,
2022-08-06,8.4,7.8,8.5,8.3,8.1,9.0,8.0,8.2,8.6,8.7,,,,,,,,,,,,
2022-08-07,8.5,7.8,8.0,8.5,8.0,8.6,8.7,8.5,8.7,8.7,7.8,,,,,,,,,,,
2022-08-08,8.6,9.5,8.2,8.3,8.0,8.6,9.0,9.0,8.0,8.0,,,,,,,,,,,,
2022-08-09,8.5,7.7,8.6,8.5,8.0,9.0,8.5,8.5,9.0,8.2,,,,,,,,,,,,
2022-08-10,7.8,7.8,8.0,7.8,8.2,7.6,8.5,7.7,8.0,7.9,,,,,,,,,,,,
2022-08-11,8.7,,8.7,8.3,8.7,8.4,8.0,9.0,9.0,8.5,,,,,,,,,,,,
2022-08-12,9.1,9.0,9.6,9.3,9.0,9.0,8.5,9.4,8.9,,,,,,,,,,,,,
2022-08-13,9.4,9.2,9.7,9.2,8.7,9.4,9.0,9.6,9.2,,,,,,,,,,,,,
2022-08-14,8.2,7.7,8.4,8.1,7.8,8.0,8.8,8.0,8.5,8.2,7.9,,,,,,,,,,,
2022-08-15,9.1,9.0,9.0,9.0,8.6,9.1,9.2,9.0,9.4,8.4,8.5,,,,,,,,,,,
2022-08-16,9.1,8.8,9.0,9.0,9.0,9.0,9.0,9.2,9.3,8.7,9.5,,,,,,,,,,,
2022-08-17,8.9,8.9,9.5,8.8,9.0,9.6,8.5,8.0,9.5,9.0,9.0,,,,,,,,,,,
2022-08-18,9.0,8.8,8.8,9.0,,,,9.6,,9.5,,,,,,,,,,,,
2022-08-19,9.4,8.0,8.9,8.8,8.9,7.9,8.5,9.4,8.0,,8.0,,,,,,,,,,,
2022-08-20,7.8,8.0,8.0,7.8,7.7,8.4,7.8,8.8,8.1,,,,,,,,,,,,,
2022-08-21,9.3,9.2,9.5,9.3,9.0,9.5,8.6,9.4,9.0,9.0,9.4,,,,,,,,,,,
