Date,overall,sociability,health,happiness,energy,positivity,moment,uniqueness,excitement,productivity,integrity,purpose,bottles drank,times peed,time slept,time awaked,total sleep time,effectiveness (Am I SPENDING the RIGHT TIME),Sleep Min,Sleep Hr,Awake Hr,% of planned output,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,Time slept,Time woken,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep,scrobbles
2022-04-03,,,,,,,,,,,,,,,,,,,,,,,"2,891","8,989",7.05,12,822,299,0,0,"1,303",5:27AM,10:46AM,269.0,50.0,14.0,319.0,59.0,126.0,84.0,134.0
2022-04-04,,,,,,,,,,,,,,,,,,,,5.0,,,"2,995","10,457",8.21,24,772,294,1,9,"1,427",2:15AM,8:19AM,332.0,26.0,3.0,364.0,,,,64.0
2022-04-05,,,,,,,,,,,,,,,4.8,8.8,4.0,,45.0,4.0,8.0,,"2,724","7,706",6.05,14,818,228,7,4,"1,077",4:54AM,11:17AM,319.0,64.0,16.0,383.0,40.0,209.0,70.0,77.0
2022-04-06,,,,,,,,,,,,,,,3.3,9.3,6.0,,15.0,3.0,9.0,,"3,153","12,698",9.96,23,"1,184",161,42,53,"1,560",,,,,,,,,,
2022-04-07,,,,,,,,,,,,,,,4.0,8.5,4.5,,1.0,4.0,8.0,,"2,998","10,211",7.97,22,840,214,20,21,"1,332",3:28AM,9:14AM,288.0,57.0,11.0,345.0,55.0,175.0,58.0,31.0
2022-04-08,,,,,,,,,,,,,,,5.0,,,,1.0,5.0,,,"3,155","10,532",8.27,17,895,227,25,36,"1,548",4:18AM,8:35AM,231.0,26.0,13.0,257.0,45.0,137.0,49.0,136.0
2022-04-09,8.7,,,,,,,,,,,,,,,,,,,,,,"3,324","14,286",11.19,23,619,181,31,68,"1,695",5:02AM,2:03PM,507.0,31.0,2.0,541.0,,,,128.0
2022-04-10,,,,,,,,,,,,,,,,,,,,,,,"2,839","8,930",7.01,14,891,163,44,7,"1,125",2:50PM,8:25PM,300.0,35.0,10.0,335.0,87.0,167.0,46.0,150.0
2022-04-11,9.0,9.4,8.0,8.7,7.6,8.0,,,,,,,,,6.4,10.5,4.1,,21.0,6.0,10.0,,"2,401","3,850",3.06,6,"1,323",117,0,0,601,,,,,,,,,,150.0
2022-04-12,,,,,,,,,,,,,,,4.2,2.9,-1.3,,10.0,4.0,2.0,,"4,135","17,736",13.86,26,743,320,59,77,"2,690",6:23AM,10:24AM,214.0,27.0,13.0,241.0,49.0,118.0,47.0,130.0
