Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,Time slept,Time woken,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2022-09-23,"3,437","12,832",10.22,14,728,169,51,60,"1,737",1:45AM,8:57AM,395,37,16,432,131,210,54
2022-09-24,"4,226","17,140",13.6,15,639,279,108,72,"2,816",3:30AM,9:13AM,302,40,21,342,56,185,61
2022-09-25,"2,801","8,558",6.7,9,955,74,77,19,"1,061",5:30AM,10:45AM,308,7,0,315,,,
2022-09-26,"3,590","11,000",8.8,20,836,148,27,89,"1,834",3:13AM,8:53AM,316,24,3,340,,,
2022-09-27,"4,522","21,860",17.49,25,646,382,63,78,"3,113",1:27AM,5:58AM,237,34,18,271,29,180,28
2022-09-28,"3,503","13,117",10.45,16,673,288,43,26,"1,899",12:56AM,7:21AM,339,46,17,385,104,170,65
2022-09-29,"3,322","9,500",7.56,8,720,208,51,42,"1,685",11:35PM,6:59AM,394,50,2,444,,,
2022-09-30,"1,921",0,0,0,"1,440",0,0,0,0,,,,,,,,,
2022-03-01,"3,505","13,208",10.37,21,729,288,48,35,"1,949",3:06AM,8:46AM,297,43,14,340,64,182,51
2022-03-02,"3,769","15,341",12.03,29,827,288,49,45,"2,185",3:07AM,6:59AM,226,5,1,231,,,
2022-03-03,"4,011","20,872",16.41,31,868,281,40,87,"2,493",4:39AM,7:23AM,154,10,2,164,,,
2022-03-04,"3,440","13,150",10.29,25,722,279,27,27,"1,829",1:16AM,7:41AM,342,43,19,385,83,220,39
2022-03-05,"3,495","15,595",12.31,13,"1,065",310,16,49,"2,015",,,,,,,,,
2022-03-06,"3,067","10,280",8.03,15,692,281,5,13,"1,464",3:01AM,10:30AM,410,39,23,449,107,221,82
2022-03-07,"2,046",975,0.77,0,"1,151",48,0,0,188,3:02AM,7:03AM,211,30,12,241,10,162,39
2022-03-08,"1,900",0,0,0,"1,440",0,0,0,0,,,,,,,,,
2022-03-09,"3,425","8,467",6.62,22,"1,133",235,39,33,"1,875",,,,,,,,,
2022-03-10,"3,276","9,673",7.48,14,773,260,26,17,"1,562",6:35AM,12:39PM,318,46,15,364,106,156,56
2022-03-11,"3,751","12,843",9.96,25,691,364,34,10,"2,185",6:05AM,11:46AM,296,45,12,341,72,161,63
2022-03-12,"4,623","25,350",19.88,13,478,314,87,131,"3,307",4:24AM,11:34AM,376,54,19,430,111,182,83
2022-03-13,"3,366","15,142",11.89,18,842,192,16,83,"1,780",4:16AM,9:24AM,269,38,9,307,35,216,18
2022-03-14,"3,503","11,676",9.13,34,736,261,37,36,"1,847",2:24AM,8:34AM,344,26,1,370,,,
2022-03-15,"3,405","12,278",9.61,35,767,274,30,16,"1,758",1:53AM,7:46AM,306,47,5,353,,,
2022-03-16,"4,363","24,032",18.83,33,611,342,41,96,"2,969",1:54AM,7:45AM,305,45,4,350,,,
2022-03-17,"3,304","11,084",8.67,18,789,275,17,16,"1,647",2:52AM,8:35AM,298,45,14,343,63,183,52
2022-03-18,"4,486","26,858",21.07,21,555,270,65,142,"3,120",11:42PM,6:30AM,357,51,18,408,93,186,78
2022-03-19,"3,050","9,190",7.21,7,662,272,12,9,"1,411",3:14AM,11:19AM,425,60,15,485,101,260,64
2022-03-20,"3,389","14,070",10.98,31,670,242,34,42,"1,812",3:01AM,10:33AM,397,55,24,452,99,232,66
2022-03-21,"3,175","10,946",8.57,17,921,299,11,10,"1,564",8:10AM,11:29AM,178,21,8,199,44,107,27
2022-03-22,"3,096","9,411",7.35,20,744,240,16,9,"1,387",2:11AM,9:22AM,372,59,22,431,81,227,64
2022-03-23,"3,856","17,802",13.97,30,"1,044",294,39,63,"2,324",,,,,,,,,
2022-03-24,"3,672","13,717",10.73,23,744,314,57,28,"2,136",5:05AM,10:02AM,261,36,13,297,66,150,45
2022-03-25,"3,795","15,678",12.31,15,678,353,39,25,"2,293",3:58AM,9:43AM,327,18,1,345,,,
2022-03-26,"4,569","25,327",19.83,33,531,232,88,153,"3,240",3:07AM,10:24AM,415,20,1,436,,,
2022-03-27,"3,395","14,097",11.02,25,785,167,71,62,"1,804",4:17AM,10:12AM,309,46,16,355,70,203,36
2022-03-28,"3,547","15,925",12.5,34,839,275,35,33,"1,973",3:40AM,7:58AM,232,26,12,258,67,108,57
2022-03-29,"3,861","16,567",13.01,27,705,263,79,41,"2,275",1:51AM,7:43AM,313,39,19,352,73,206,34
2022-03-30,"2,266","2,184",1.69,0,954,88,6,0,439,2:23AM,8:55AM,332,60,22,392,51,225,56
2022-03-31,"3,469","10,898",8.51,10,556,214,65,33,"1,778",10:12PM,7:44AM,482,90,29,572,39,373,70
2022-01-01,"3,737","10,658",8.37,1,678,251,72,39,"2,057",6:10AM,12:51PM,346,54,26,400,66,234,46
2022-01-02,"3,429","9,028",7.08,9,716,208,48,53,"1,827",2:42AM,9:37AM,385,30,1,415,,,
2022-01-03,"2,662","7,934",6.23,0,"1,306",58,19,57,911,,,,,,,,,
2022-01-04,"2,212",593,0.47,0,"1,058",69,0,0,338,5:07AM,10:21AM,264,49,10,313,63,149,52
2022-01-05,"2,860","3,886",3.05,1,863,211,0,0,"1,043",5:21AM,11:27AM,340,26,1,366,,,
2022-01-06,"2,994","6,128",4.81,1,805,193,28,7,"1,163",6:56AM,1:43PM,369,38,24,407,90,191,88
2022-01-07,"2,737","5,170",4.06,0,888,194,3,5,952,7:13AM,1:03PM,339,11,0,350,,,
2022-01-08,"4,170","19,808",14.63,0,670,267,127,50,"2,655",7:48AM,1:15PM,316,8,1,326,,,
2022-01-09,"4,022","19,310",15.15,7,760,240,146,50,"2,615",7:18AM,11:23AM,236,8,1,244,,,
2022-01-10,"3,194","6,449",5.06,1,713,199,44,13,"1,400",7:50AM,3:41PM,434,37,29,471,65,305,64
2022-01-11,"3,604","8,323",6.45,1,592,274,71,16,"2,002",7:15AM,3:22PM,424,63,32,487,96,286,42
2022-01-12,"1,904",0,0,0,"1,440",0,0,0,0,,,,,,,,,
2022-01-13,"2,699","5,938",4.63,0,"1,277",130,18,15,917,,,,,,,,,
2022-01-14,"4,021","2,611",1.96,5,702,186,221,16,"2,489",1:46PM,7:01PM,294,21,3,315,,,
2022-01-15,"4,496","4,857",3.68,9,907,273,102,87,"2,897",7:41AM,8:52AM,70,1,0,71,,,
2022-01-16,"5,034","14,388",11.24,1,262,434,184,59,"3,944",10:53PM,7:14AM,467,34,21,501,147,250,70
2022-01-17,"4,109","13,491",10.59,39,680,225,89,81,"2,516",12:26AM,6:31AM,345,19,1,365,,,
2022-01-18,"3,400","10,336",8.07,5,788,326,8,8,"1,726",12:32AM,5:42AM,283,27,16,310,48,179,56
2022-01-19,"3,430","9,121",7.16,8,669,279,43,15,"1,839",12:23AM,7:37AM,376,58,20,434,93,183,100
2022-01-20,"3,736","10,915",8.56,7,674,310,53,23,"2,148",12:38AM,6:59AM,352,28,15,380,74,210,68
2022-01-21,"5,610","22,016",17.23,12,521,339,203,149,"4,487",1:54AM,5:43AM,220,8,1,228,,,
2022-01-22,"3,121","6,463",4.97,3,742,208,24,16,"1,364",12:40AM,8:10AM,399,51,20,450,98,250,51
2022-01-23,"3,545","13,500",10.49,9,723,304,19,47,"1,931",1:11AM,6:58AM,312,35,11,347,75,182,55
2022-01-24,"4,002","16,071",12.59,16,704,270,57,73,"2,426",12:07AM,5:44AM,302,34,13,336,57,208,37
2022-01-25,"3,687","13,234",10.38,13,707,281,42,29,"2,027",1:55AM,8:16AM,349,32,16,381,100,175,74
2022-01-26,"3,870","14,409",11.31,20,761,260,71,52,"2,299",3:05AM,8:01AM,268,28,11,296,65,142,61
2022-01-27,"1,925",241,0.19,0,"1,435",5,0,0,26,,,,,,,,,
2022-01-28,"3,675","12,126",9.5,19,"1,121",211,71,37,"1,959",,,,,,,,,
2022-01-29,"4,485","14,406",11.18,5,427,276,149,72,"3,097",2:39AM,11:16AM,465,51,18,516,101,294,70
2022-01-30,"3,836","11,488",8.75,9,673,295,59,50,"2,254",1:51AM,7:54AM,321,42,21,363,92,229,0
2022-01-31,"4,174","15,539",11.87,18,698,329,78,59,"2,686",12:55AM,5:31AM,256,20,2,276,,,
2022-05-01,"4,488","22,302",17.49,133,629,327,68,115,"3,166",4:07AM,9:08AM,266,35,8,301,71,144,51
2022-05-02,"4,030","16,149",12.6,9,489,483,52,18,"2,791",2:11AM,8:50AM,361,37,12,398,107,200,54
2022-05-03,"4,214","20,197",15.81,11,575,423,25,76,"2,878",2:27AM,8:08AM,324,17,3,341,,,
2022-05-04,"2,955","9,127",7.16,7,717,272,9,19,"1,364",1:29AM,8:32AM,394,29,20,423,104,235,55
2022-05-05,"3,239","9,620",7.68,9,666,283,13,21,"1,600",11:51PM,7:28AM,404,53,23,457,62,285,57
2022-05-06,"4,311","14,968",11.79,26,675,289,94,86,"2,923",12:26AM,5:22AM,275,21,11,296,78,158,39
2022-05-07,"4,657","17,875",14.03,16,556,207,167,130,"3,343",2:57AM,9:17AM,333,47,13,380,94,204,35
2022-05-08,"3,367","8,734",6.86,6,748,302,21,12,"1,704",1:36AM,7:33AM,354,3,0,357,,,
2022-05-09,"3,599","12,619",9.85,3,737,244,93,38,"2,073",2:08AM,7:36AM,296,32,18,328,86,159,51
2022-05-10,"3,089","8,230",6.46,7,699,252,9,6,"1,382",1:24AM,9:19AM,430,44,25,474,98,286,46
2022-05-11,"4,714","22,419",17.57,21,672,192,72,195,"3,308",3:53AM,9:03AM,278,31,14,309,59,153,66
